Day,Date,Min Temp (°C),Max Temp (°C),Location
Wednesday,2025-01-01,-9,7,Los Angeles
Thursday,2025-01-02,3,14,Houston
Friday,2025-01-03,4,19,Los Angeles
Saturday,2025-01-04,-3,17,New York
Sunday,2025-01-05,-4,9,Los Angeles
Monday,2025-01-06,5,16,Los Angeles
Tuesday,2025-01-07,8,15,Chicago
Wednesday,2025-01-08,13,22,Houston
Thursday,2025-01-09,2,8,Houston
Friday,2025-01-10,2,8,Los Angeles
Saturday,2025-01-11,9,26,New York
Sunday,2025-01-12,14,23,Los Angeles
Monday,2025-01-13,-2,5,Los Angeles
Tuesday,2025-01-14,-1,15,Los Angeles
Wednesday,2025-01-15,-7,8,Chicago
Thursday,2025-01-16,-7,6,New York
Friday,2025-01-17,14,23,Phoenix
Saturday,2025-01-18,0,12,Chicago
Sunday,2025-01-19,-4,14,Phoenix
Monday,2025-01-20,13,21,Chicago
Tuesday,2025-01-21,-5,8,Los Angeles
Wednesday,2025-01-22,8,14,Houston
Thursday,2025-01-23,3,17,Los Angeles
Friday,2025-01-24,13,30,Los Angeles
Saturday,2025-01-25,-1,15,Chicago
Sunday,2025-01-26,-6,6,Houston
Monday,2025-01-27,0,17,Chicago
Tuesday,2025-01-28,15,31,Phoenix
Wednesday,2025-01-29,12,32,New York
Thursday,2025-01-30,-4,8,Phoenix
Friday,2025-01-31,4,18,New York
Saturday,2025-02-01,5,13,Los Angeles
Sunday,2025-02-02,-2,8,Phoenix
Monday,2025-02-03,4,21,Chicago
Tuesday,2025-02-04,-4,15,Houston
Wednesday,2025-02-05,-7,8,Houston
Thursday,2025-02-06,14,31,Los Angeles
Friday,2025-02-07,-3,6,Phoenix
Saturday,2025-02-08,11,19,Chicago
Sunday,2025-02-09,15,27,Los Angeles
Monday,2025-02-10,-9,9,Phoenix
Tuesday,2025-02-11,-10,8,Los Angeles
Wednesday,2025-02-12,11,28,Chicago
Thursday,2025-02-13,-2,9,Chicago
Friday,2025-02-14,-10,6,Phoenix
Saturday,2025-02-15,3,8,Houston
Sunday,2025-02-16,3,9,Houston
Monday,2025-02-17,7,19,Chicago
Tuesday,2025-02-18,8,26,Phoenix
Wednesday,2025-02-19,-3,11,New York
Thursday,2025-02-20,-6,14,Chicago
Friday,2025-02-21,8,27,Los Angeles
Saturday,2025-02-22,-3,7,New York
Sunday,2025-02-23,-10,-1,Houston
Monday,2025-02-24,-5,13,Houston
Tuesday,2025-02-25,7,12,Los Angeles
Wednesday,2025-02-26,9,14,Phoenix
Thursday,2025-02-27,3,21,Los Angeles
Friday,2025-02-28,1,13,Los Angeles
Saturday,2025-03-01,11,25,Los Angeles
Sunday,2025-03-02,7,22,Los Angeles
Monday,2025-03-03,-2,12,Los Angeles
Tuesday,2025-03-04,15,23,New York
Wednesday,2025-03-05,-1,4,Chicago
Thursday,2025-03-06,-1,12,Houston
Friday,2025-03-07,3,15,New York
Saturday,2025-03-08,-3,11,New York
Sunday,2025-03-09,-10,-5,New York
Monday,2025-03-10,15,33,New York
Tuesday,2025-03-11,-10,5,Houston
Wednesday,2025-03-12,-10,2,Houston
Thursday,2025-03-13,-6,2,New York
Friday,2025-03-14,9,28,Los Angeles
Saturday,2025-03-15,-7,11,Los Angeles
Sunday,2025-03-16,13,20,Los Angeles
Monday,2025-03-17,7,20,Phoenix
Tuesday,2025-03-18,7,22,Los Angeles
Wednesday,2025-03-19,-10,9,Los Angeles
Thursday,2025-03-20,15,23,Phoenix
Friday,2025-03-21,0,20,Los Angeles
Saturday,2025-03-22,-5,4,Phoenix
